Datetime,Temp.din6,EC.din6
6/24/18 14:00,9.52,19
6/24/18 14:15,9.78,19
6/24/18 14:30,9.93,18.9
6/24/18 14:45,10.17,18.9
6/24/18 15:00,10.5,18.9
6/24/18 15:15,10.68,18.9
6/24/18 15:30,10.75,18.9
6/24/18 15:45,10.93,19
6/24/18 16:00,10.86,18.8
6/24/18 16:15,10.87,19
6/24/18 16:30,10.67,18.9
6/24/18 16:45,10.31,18.8
6/24/18 17:00,10.25,18.7
6/24/18 17:15,10.26,18.7
6/24/18 17:30,10.08,18.8
6/24/18 17:45,9.85,18.9
6/24/18 18:00,9.67,18.7
6/24/18 18:15,9.49,18.7
6/24/18 18:30,9.26,18.7
6/24/18 18:45,8.96,18.7
6/24/18 19:00,8.66,18.5
6/24/18 19:15,8.31,18.5
6/24/18 19:30,7.93,18.6
6/24/18 19:45,7.55,18.5
6/24/18 20:00,7.22,18.5
6/24/18 20:15,6.94,18.5
6/24/18 20:30,6.7,18.5
6/24/18 20:45,6.47,18.6
6/24/18 21:00,6.26,18.4
6/24/18 21:15,6.06,18.5
6/24/18 21:30,5.88,18.6
6/24/18 21:45,5.68,18.4
6/24/18 22:00,5.52,18.5
6/24/18 22:15,5.33,18.6
6/24/18 22:30,5.17,18.5
6/24/18 22:45,5.01,18.6
6/24/18 23:00,4.85,18.5
6/24/18 23:15,4.7,18.6
6/24/18 23:30,4.56,18.5
6/24/18 23:45,4.42,18.4
6/25/18 0:00,4.3,18.5
6/25/18 0:15,4.19,18.5
6/25/18 0:30,4.05,18.6
6/25/18 0:45,3.92,18.7
6/25/18 1:00,3.81,18.6
6/25/18 1:15,3.71,18.6
6/25/18 1:30,3.6,18.5
6/25/18 1:45,3.5,18.6
6/25/18 2:00,3.4,18.5
6/25/18 2:15,3.32,18.5
6/25/18 2:30,3.25,18.5
6/25/18 2:45,3.18,18.6
6/25/18 3:00,3.1,18.3
6/25/18 3:15,3.05,18.5
6/25/18 3:30,2.99,18.3
6/25/18 3:45,2.93,18.4
6/25/18 4:00,2.88,18.4
6/25/18 4:15,2.84,18.4
6/25/18 4:30,2.79,18.3
6/25/18 4:45,2.76,18.5
6/25/18 5:00,2.7,18.5
6/25/18 5:15,2.66,18.3
6/25/18 5:30,2.63,18.4
6/25/18 5:45,2.58,18.4
6/25/18 6:00,2.56,18.4
6/25/18 6:15,2.54,18.2
6/25/18 6:30,2.5,18.4
6/25/18 6:45,2.48,18.3
6/25/18 7:00,2.48,18.4
6/25/18 7:15,2.45,18.5
6/25/18 7:30,2.44,18.3
6/25/18 7:45,2.43,18.5
6/25/18 8:00,2.42,18.3
6/25/18 8:15,2.43,18.5
6/25/18 8:30,2.68,18.2
6/25/18 8:45,3.02,18.3
6/25/18 9:00,3.37,18.3
6/25/18 9:15,3.73,18.3
6/25/18 9:30,4.06,18.4
6/25/18 9:45,4.33,18.3
6/25/18 10:00,4.62,18.3
6/25/18 10:15,4.92,18.1
6/25/18 10:30,5.25,18.1
6/25/18 10:45,5.64,18.2
6/25/18 11:00,6.04,18.2
6/25/18 11:15,6.41,18
6/25/18 11:30,6.81,17.9
6/25/18 11:45,7.17,18.2
6/25/18 12:00,7.56,18
6/25/18 12:15,7.93,17.8
6/25/18 12:30,8.3,18
6/25/18 12:45,8.66,17.9
6/25/18 13:00,9,17.9
6/25/18 13:15,9.34,17.9
6/25/18 13:30,9.64,17.9
6/25/18 13:45,9.95,18.2
6/25/18 14:00,10.23,17.9
6/25/18 14:15,10.48,17.9
6/25/18 14:30,10.72,17.8
6/25/18 14:45,10.93,17.8
6/25/18 15:00,11.11,17.9
6/25/18 15:15,11.26,17.8
6/25/18 15:30,11.39,17.8
6/25/18 15:45,11.47,17.7
6/25/18 16:00,11.53,17.8
6/25/18 16:15,11.54,17.7
6/25/18 16:30,11.52,17.7
6/25/18 16:45,11.44,17.6
6/25/18 17:00,11.33,17.5
6/25/18 17:15,11.19,17.4
6/25/18 17:30,11.01,17.5
6/25/18 17:45,10.8,17.3
6/25/18 18:00,10.53,17.2
6/25/18 18:15,10.24,17.2
6/25/18 18:30,9.9,17.2
6/25/18 18:45,9.54,17.1
6/25/18 19:00,9.08,17.1
6/25/18 19:15,8.6,16.9
6/25/18 19:30,8.1,17
6/25/18 19:45,7.6,17.1
6/25/18 20:00,7.15,17
6/25/18 20:15,6.74,16.9
6/25/18 20:30,6.38,16.9
6/25/18 20:45,6.09,16.7
6/25/18 21:00,5.83,16.7
6/25/18 21:15,5.6,16.8
6/25/18 21:30,5.38,16.9
6/25/18 21:45,5.19,16.7
6/25/18 22:00,4.98,16.8
6/25/18 22:15,4.77,16.7
6/25/18 22:30,4.57,16.6
6/25/18 22:45,4.39,16.7
6/25/18 23:00,4.22,16.8
6/25/18 23:15,4.08,16.7
6/25/18 23:30,3.98,16.8
6/25/18 23:45,3.87,16.8
6/26/18 0:00,3.79,16.9
6/26/18 0:15,3.67,16.6
6/26/18 0:30,3.6,16.6
6/26/18 0:45,3.53,16.8
6/26/18 1:00,3.45,16.9
6/26/18 1:15,3.37,16.7
6/26/18 1:30,3.31,16.8
6/26/18 1:45,3.25,16.8
6/26/18 2:00,3.19,16.7
6/26/18 2:15,3.16,16.5
6/26/18 2:30,3.11,16.7
6/26/18 2:45,3.1,16.5
6/26/18 3:00,3.07,16.7
6/26/18 3:15,3.06,16.6
6/26/18 3:30,3.07,16.7
6/26/18 3:45,3.11,16.9
6/26/18 4:00,3.11,16.7
6/26/18 4:15,3.14,16.9
6/26/18 4:30,3.12,16.5
6/26/18 4:45,3.13,16.5
6/26/18 5:00,3.13,16.7
