Datetime,Temp.din4,EC.din4
6/24/18 16:15,8.06,15.7
6/24/18 16:30,7.75,15.5
6/24/18 16:45,7.63,15.5
6/24/18 17:00,7.46,15.5
6/24/18 17:15,7.11,15.5
6/24/18 17:30,6.61,15.4
6/24/18 17:45,6.17,15.4
6/24/18 18:00,5.79,15.4
6/24/18 18:15,5.62,15.3
6/24/18 18:30,5.43,15.3
6/24/18 18:45,5.18,15.2
6/24/18 19:00,4.99,15.1
6/24/18 19:15,4.81,15.2
6/24/18 19:30,4.63,15
6/24/18 19:45,4.41,15.1
6/24/18 20:00,4.2,15
6/24/18 20:15,4.02,14.9
6/24/18 20:30,3.87,15
6/24/18 20:45,3.71,15
6/24/18 21:00,3.56,15.1
6/24/18 21:15,3.42,15
6/24/18 21:30,3.3,15
6/24/18 21:45,3.22,15.1
6/24/18 22:00,3.13,15
6/24/18 22:15,3.05,15
6/24/18 22:30,2.94,15
6/24/18 22:45,2.82,15.1
6/24/18 23:00,2.7,15.2
6/24/18 23:15,2.59,15
6/24/18 23:30,2.49,15.1
6/24/18 23:45,2.39,15.1
6/25/18 0:00,2.31,15
6/25/18 0:15,2.24,15
6/25/18 0:30,2.17,15
6/25/18 0:45,2.09,15.1
6/25/18 1:00,2.04,15.1
6/25/18 1:15,1.98,15
6/25/18 1:30,1.93,15
6/25/18 1:45,1.87,14.8
6/25/18 2:00,1.84,15
6/25/18 2:15,1.79,15
6/25/18 2:30,1.75,15.1
6/25/18 2:45,1.72,15.1
6/25/18 3:00,1.68,14.9
6/25/18 3:15,1.66,15.1
6/25/18 3:30,1.64,15.1
6/25/18 3:45,1.61,15.1
6/25/18 4:00,1.59,15.1
6/25/18 4:15,1.58,15
6/25/18 4:30,1.55,15.2
6/25/18 4:45,1.55,15.2
6/25/18 5:00,1.53,15.2
6/25/18 5:15,1.54,15.2
6/25/18 5:30,1.54,15.2
6/25/18 5:45,1.55,15
6/25/18 6:00,1.53,15.2
6/25/18 6:15,1.5,15
6/25/18 6:30,1.48,15.2
6/25/18 6:45,1.46,15
6/25/18 7:00,1.43,15
6/25/18 7:15,1.39,15
6/25/18 7:30,1.38,15.2
6/25/18 7:45,1.37,15.2
6/25/18 8:00,1.36,15.1
6/25/18 8:15,1.55,15.2
6/25/18 8:30,1.85,15
6/25/18 8:45,2.11,15.1
6/25/18 9:00,2.41,14.9
6/25/18 9:15,2.7,15
6/25/18 9:30,2.95,15
6/25/18 9:45,3.24,14.9
6/25/18 10:00,3.6,14.9
6/25/18 10:15,3.95,14.9
6/25/18 10:30,4.27,14.8
6/25/18 10:45,4.58,14.8
6/25/18 11:00,4.91,14.8
6/25/18 11:15,5.22,15
6/25/18 11:30,5.51,15.1
6/25/18 11:45,5.79,15.1
6/25/18 12:00,6.07,15.1
6/25/18 12:15,6.35,15
6/25/18 12:30,6.65,15
6/25/18 12:45,6.92,14.9
6/25/18 13:00,7.18,15
6/25/18 13:15,7.41,14.9
6/25/18 13:30,7.62,14.8
6/25/18 13:45,7.81,14.9
6/25/18 14:00,7.97,14.8
6/25/18 14:15,8.1,14.9
6/25/18 14:30,8.2,14.7
6/25/18 14:45,8.24,14.7
6/25/18 15:00,8.26,14.7
6/25/18 15:15,8.22,14.5
6/25/18 15:30,8.15,14.6
6/25/18 15:45,8.04,14.6
6/25/18 16:00,7.9,14.4
6/25/18 16:15,7.75,14.3
6/25/18 16:30,7.52,14.1
6/25/18 16:45,7.29,14.2
6/25/18 17:00,7.05,13.9
6/25/18 17:15,6.79,13.9
6/25/18 17:30,6.57,13.8
6/25/18 17:45,6.27,13.6
6/25/18 18:00,5.99,13.6
6/25/18 18:15,5.64,13.7
6/25/18 18:30,5.26,13.5
6/25/18 18:45,4.97,13.5
6/25/18 19:00,4.69,13.4
6/25/18 19:15,4.44,13.4
6/25/18 19:30,4.27,13.3
6/25/18 19:45,4.08,13.3
6/25/18 20:00,3.87,13.3
6/25/18 20:15,3.64,13.4
6/25/18 20:30,3.4,13.5
6/25/18 20:45,3.21,13.2
6/25/18 21:00,3.05,13.2
6/25/18 21:15,2.88,13.3
6/25/18 21:30,2.78,13.4
6/25/18 21:45,2.69,13.4
6/25/18 22:00,2.6,12.9
6/25/18 22:15,2.52,12.8
6/25/18 22:30,2.42,13
6/25/18 22:45,2.35,13
6/25/18 23:00,2.27,12.9
6/25/18 23:15,2.21,13.1
6/25/18 23:30,2.17,13.1
6/25/18 23:45,2.12,13.1
6/26/18 0:00,2.06,13.1
6/26/18 0:15,2.01,13.1
6/26/18 0:30,1.98,13.2
6/26/18 0:45,1.94,13.2
6/26/18 1:00,1.94,13
6/26/18 1:15,1.94,13.2
6/26/18 1:30,1.94,13.2
6/26/18 1:45,1.93,13.2
6/26/18 2:00,1.92,13.2
6/26/18 2:15,1.91,13.2
6/26/18 2:30,1.9,13.4
6/26/18 2:45,1.91,13.2
6/26/18 3:00,1.91,13.2
6/26/18 3:15,1.9,13.4
6/26/18 3:30,1.9,13.2
6/26/18 3:45,1.88,13.4
6/26/18 4:00,1.9,13.5
6/26/18 4:15,1.9,13.4
6/26/18 4:30,1.9,13.4
6/26/18 4:45,1.91,13.5
6/26/18 5:00,1.91,13.4
6/26/18 5:15,1.92,13.5
6/26/18 5:30,1.94,13.5
6/26/18 5:45,1.97,13.5
6/26/18 6:00,1.97,13.7
6/26/18 6:15,1.99,13.7
6/26/18 6:30,1.99,13.5
6/26/18 6:45,1.98,13.7
6/26/18 7:00,1.98,13.5
6/26/18 7:15,1.99,13.7
6/26/18 7:30,1.98,13.5
6/26/18 7:45,2,13.5
6/26/18 8:00,2.06,13.7
6/26/18 8:15,2.28,13.6
6/26/18 8:30,2.54,13.6
6/26/18 8:45,2.79,13.7
6/26/18 9:00,3.03,13.6
6/26/18 9:15,3.28,13.5
6/26/18 9:30,3.53,13.6
6/26/18 9:45,3.87,13.6
6/26/18 10:00,4.16,13.5
6/26/18 10:15,4.44,13.5
6/26/18 10:30,4.72,13.6
6/26/18 10:45,4.98,13.7
6/26/18 11:00,5.24,13.5
6/26/18 11:15,5.49,13.4
6/26/18 11:30,5.74,13.5
6/26/18 11:45,6,13.4
6/26/18 12:00,6.26,13.5
6/26/18 12:15,6.53,13.4
6/26/18 12:30,6.77,13.4
6/26/18 12:45,6.98,13.4
6/26/18 13:00,7.18,13.3
6/26/18 13:15,7.35,13.4
6/26/18 13:30,7.49,13.3
6/26/18 13:45,7.6,13.3
6/26/18 14:00,7.66,13.1
6/26/18 14:15,7.68,12.9
6/26/18 14:30,7.68,12.6
6/26/18 14:45,7.62,12.5
6/26/18 15:00,7.55,12.5
6/26/18 15:15,7.43,12.6
6/26/18 15:30,7.32,12.6
6/26/18 15:45,7.15,12.5
6/26/18 16:00,6.98,12.3
6/26/18 16:15,6.68,12.1
6/26/18 16:30,6.45,12.1
6/26/18 16:45,6.17,12.1
6/26/18 17:00,5.93,12
6/26/18 17:15,5.72,12.1
6/26/18 17:30,5.47,11.8
6/26/18 17:45,5.17,11
6/26/18 18:00,4.96,10.9
6/26/18 18:15,4.65,10.8
6/26/18 18:30,4.35,10.9
6/26/18 18:45,4.11,10.3
6/26/18 19:00,3.9,9.3
6/26/18 19:15,3.71,10.4
6/26/18 19:30,3.54,8.4
6/26/18 19:45,3.36,11.1
6/26/18 20:00,3.14,11.1
6/26/18 20:15,2.92,11.2
6/26/18 20:30,2.74,11.3
6/26/18 20:45,2.61,11.5
6/26/18 21:00,2.49,11.2
6/26/18 21:15,2.4,11.2
6/26/18 21:30,2.33,11.6
6/26/18 21:45,2.26,11.3
6/26/18 22:00,2.21,11.6
6/26/18 22:15,2.18,11.6
6/26/18 22:30,2.14,11.3
6/26/18 22:45,2.12,11.7
6/26/18 23:00,2.09,11.5
6/26/18 23:15,2.07,11.5
6/26/18 23:30,2.04,11.7
6/26/18 23:45,2.01,11.7
6/27/18 0:00,2.01,11.7
6/27/18 0:15,1.98,11.7
6/27/18 0:30,1.98,11.7
6/27/18 0:45,1.95,11.7
6/27/18 1:00,1.92,11.7
6/27/18 1:15,1.88,11.7
6/27/18 1:30,1.86,11.8
6/27/18 1:45,1.82,11.9
6/27/18 2:00,1.78,11.8
6/27/18 2:15,1.75,11.8
6/27/18 2:30,1.72,12
6/27/18 2:45,1.7,11.8
6/27/18 3:00,1.66,12
6/27/18 3:15,1.63,12
6/27/18 3:30,1.6,12
6/27/18 3:45,1.58,12
6/27/18 4:00,1.55,12.1
6/27/18 4:15,1.53,12.1
6/27/18 4:30,1.52,12.1
6/27/18 4:45,1.5,12.1
6/27/18 5:00,1.5,12.1
6/27/18 5:15,1.47,12.1
6/27/18 5:30,1.46,12.3
6/27/18 5:45,1.45,12.1
6/27/18 6:00,1.44,12.3
6/27/18 6:15,1.41,12.1
6/27/18 6:30,1.4,12.3
6/27/18 6:45,1.39,12.3
6/27/18 7:00,1.37,12.3
6/27/18 7:15,1.37,12.3
6/27/18 7:30,1.37,12.5
6/27/18 7:45,1.38,12.5
6/27/18 8:00,1.44,12.3
6/27/18 8:15,1.59,12.4
6/27/18 8:30,1.8,12.3
6/27/18 8:45,2,12.2
6/27/18 9:00,2.2,12.2
6/27/18 9:15,2.41,12.3
6/27/18 9:30,2.65,12.4
6/27/18 9:45,2.96,12.4
6/27/18 10:00,3.27,12.1
6/27/18 10:15,3.54,12.2
6/27/18 10:30,3.81,12.4
6/27/18 10:45,4.05,12.3
6/27/18 11:00,4.29,12.3
6/27/18 11:15,4.54,12.2
6/27/18 11:30,4.79,12.2
6/27/18 11:45,5.08,12.3
6/27/18 12:00,5.31,12.2
6/27/18 12:15,5.57,12.3
6/27/18 12:30,5.81,12.2
6/27/18 12:45,6.03,12.3
6/27/18 13:00,6.23,12.2
6/27/18 13:15,6.38,12.2
6/27/18 13:30,6.53,12.3
6/27/18 13:45,6.67,12.2
6/27/18 14:00,6.77,12.2
6/27/18 14:15,6.86,12.2
6/27/18 14:30,6.89,12.1
6/27/18 14:45,6.89,12.3
6/27/18 15:00,6.89,12.1
6/27/18 15:15,6.86,12
6/27/18 15:30,6.79,12
6/27/18 15:45,6.69,12.1
6/27/18 16:00,6.58,12.1
6/27/18 16:15,6.44,11.8
6/27/18 16:30,6.31,11.9
6/27/18 16:45,6.13,11.9
6/27/18 17:00,5.94,11.8
6/27/18 17:15,5.74,11.7
6/27/18 17:30,5.57,11.6
6/27/18 17:45,5.36,11.7
6/27/18 18:00,5.11,11.6
6/27/18 18:15,4.84,11.6
6/27/18 18:30,4.58,11.7
6/27/18 18:45,4.34,11.7
6/27/18 19:00,4.01,11.5
6/27/18 19:15,3.95,11.5
6/27/18 19:30,3.75,11.4
6/27/18 19:45,3.6,11.3
6/27/18 20:00,3.41,11.6
6/27/18 20:15,3.21,11.4
6/27/18 20:30,3.03,11.3
6/27/18 20:45,2.88,11.4
6/27/18 21:00,2.79,11.4
6/27/18 21:15,2.69,11.5
6/27/18 21:30,2.59,11.5
6/27/18 21:45,2.51,11.3
6/27/18 22:00,2.42,11.6
6/27/18 22:15,2.35,11.4
6/27/18 22:30,2.29,11.4
6/27/18 22:45,2.25,11.4
6/27/18 23:00,2.22,11.3
6/27/18 23:15,2.21,11.6
6/27/18 23:30,2.19,11.6
6/27/18 23:45,2.17,11.5
6/28/18 0:00,2.14,11.7
6/28/18 0:15,2.13,11.7
6/28/18 0:30,2.12,11.7
6/28/18 0:45,2.13,11.7
6/28/18 1:00,2.13,11.7
6/28/18 1:15,2.14,11.7
6/28/18 1:30,2.13,11.8
6/28/18 1:45,2.12,11.8
6/28/18 2:00,2.12,11.7
6/28/18 2:15,2.08,11.9
6/28/18 2:30,2.06,11.9
6/28/18 2:45,2.02,11.9
6/28/18 3:00,1.99,11.9
6/28/18 3:15,1.94,11.9
6/28/18 3:30,1.91,11.9
6/28/18 3:45,1.88,11.9
6/28/18 4:00,1.86,11.9
6/28/18 4:15,1.84,11.9
6/28/18 4:30,1.81,12
6/28/18 4:45,1.79,12
6/28/18 5:00,1.77,12
6/28/18 5:15,1.75,12
6/28/18 5:30,1.74,12
6/28/18 5:45,1.74,12
6/28/18 6:00,1.73,12
6/28/18 6:15,1.75,12
6/28/18 6:30,1.78,12
6/28/18 6:45,1.82,11.9
6/28/18 7:00,1.85,11.9
6/28/18 7:15,1.86,11.9
6/28/18 7:30,1.9,12.1
6/28/18 7:45,1.95,12.1
6/28/18 8:00,2.04,12
