Datetime,Temp.din5,EC.din5
6/24/18 15:30,8.74,14.9
6/24/18 15:45,8.82,14.7
6/24/18 16:00,9.04,14.8
6/24/18 16:15,9.07,14.8
6/24/18 16:30,8.92,14.7
6/24/18 16:45,8.79,14.8
6/24/18 17:00,8.79,14.8
6/24/18 17:15,8.76,14.8
6/24/18 17:30,8.62,14.7
6/24/18 17:45,8.39,14.8
6/24/18 18:00,8.06,14.8
6/24/18 18:15,7.69,14.8
6/24/18 18:30,7.29,14.6
6/24/18 18:45,6.89,14.8
6/24/18 19:00,6.54,14.6
6/24/18 19:15,6.3,14.6
6/24/18 19:30,6.12,14.6
6/24/18 19:45,5.92,14.4
6/24/18 20:00,5.72,14.5
6/24/18 20:15,5.52,14.6
6/24/18 20:30,5.33,14.7
6/24/18 20:45,5.16,14.7
6/24/18 21:00,4.98,14.6
6/24/18 21:15,4.82,14.7
6/24/18 21:30,4.67,14.6
6/24/18 21:45,4.55,14.5
6/24/18 22:00,4.44,14.5
6/24/18 22:15,4.31,14.6
6/24/18 22:30,4.19,14.5
6/24/18 22:45,4.06,14.5
6/24/18 23:00,3.93,14.6
6/24/18 23:15,3.83,14.5
6/24/18 23:30,3.7,14.5
6/24/18 23:45,3.58,14.6
6/25/18 0:00,3.47,14.5
6/25/18 0:15,3.36,14.5
6/25/18 0:30,3.27,14.5
6/25/18 0:45,3.18,14.6
6/25/18 1:00,3.08,14.6
6/25/18 1:15,3.01,14.5
6/25/18 1:30,2.94,14.5
6/25/18 1:45,2.87,14.5
6/25/18 2:00,2.81,14.4
6/25/18 2:15,2.76,14.4
6/25/18 2:30,2.71,14.4
6/25/18 2:45,2.66,14.3
6/25/18 3:00,2.62,14.5
6/25/18 3:15,2.58,14.3
6/25/18 3:30,2.55,14.3
6/25/18 3:45,2.51,14.4
6/25/18 4:00,2.48,14.4
6/25/18 4:15,2.44,14.4
6/25/18 4:30,2.42,14.4
6/25/18 4:45,2.39,14.4
6/25/18 5:00,2.37,14.4
6/25/18 5:15,2.35,14.4
6/25/18 5:30,2.32,14.4
6/25/18 5:45,2.3,14.4
6/25/18 6:00,2.28,14.5
6/25/18 6:15,2.27,14.5
6/25/18 6:30,2.25,14.5
6/25/18 6:45,2.24,14.5
6/25/18 7:00,2.22,14.5
6/25/18 7:15,2.21,14.3
6/25/18 7:30,2.2,14.5
6/25/18 7:45,2.24,14.5
6/25/18 8:00,2.49,14.4
6/25/18 8:15,2.64,14.3
6/25/18 8:30,2.77,14.4
6/25/18 8:45,2.9,14.4
6/25/18 9:00,3.04,14.3
6/25/18 9:15,3.26,14.4
6/25/18 9:30,3.55,14.2
6/25/18 9:45,3.85,14.3
6/25/18 10:00,4.18,14.1
6/25/18 10:15,4.49,14.2
6/25/18 10:30,4.81,14.2
6/25/18 10:45,5.12,14.4
6/25/18 11:00,5.47,14.3
6/25/18 11:15,5.8,14.3
6/25/18 11:30,6.15,14.3
6/25/18 11:45,6.48,14.2
6/25/18 12:00,6.77,14.2
6/25/18 12:15,7.08,14.2
6/25/18 12:30,7.38,14.3
6/25/18 12:45,7.66,14.2
6/25/18 13:00,7.92,14.2
6/25/18 13:15,8.19,14.1
6/25/18 13:30,8.44,14.2
6/25/18 13:45,8.67,14.2
6/25/18 14:00,8.89,14.1
6/25/18 14:15,9.09,14.1
6/25/18 14:30,9.27,14.1
6/25/18 14:45,9.39,14.1
6/25/18 15:00,9.51,14.2
6/25/18 15:15,9.59,14
6/25/18 15:30,9.64,14.1
6/25/18 15:45,9.62,14.1
6/25/18 16:00,9.59,14
6/25/18 16:15,9.51,14
6/25/18 16:30,9.42,13.9
6/25/18 16:45,9.27,14
6/25/18 17:00,9.08,13.9
6/25/18 17:15,8.89,13.8
6/25/18 17:30,8.62,13.9
6/25/18 17:45,8.37,13.7
6/25/18 18:00,8.09,13.8
6/25/18 18:15,7.8,13.7
6/25/18 18:30,7.48,13.8
6/25/18 18:45,7.05,13.6
6/25/18 19:00,6.57,13.5
6/25/18 19:15,6.15,13.5
6/25/18 19:30,5.82,13.6
6/25/18 19:45,5.57,13.4
6/25/18 20:00,5.33,13.5
6/25/18 20:15,5.1,13.3
6/25/18 20:30,4.91,13.4
6/25/18 20:45,4.73,13.4
6/25/18 21:00,4.54,13.5
6/25/18 21:15,4.34,13.4
6/25/18 21:30,4.14,13.3
6/25/18 21:45,3.97,13.4
6/25/18 22:00,3.83,13.3
6/25/18 22:15,3.69,13.3
6/25/18 22:30,3.58,13.4
6/25/18 22:45,3.48,13.4
6/25/18 23:00,3.4,13.5
6/25/18 23:15,3.32,13.3
6/25/18 23:30,3.23,13.3
6/25/18 23:45,3.15,13.4
6/26/18 0:00,3.09,13.4
6/26/18 0:15,3.02,13.3
6/26/18 0:30,2.98,13.3
6/26/18 0:45,2.92,13.3
6/26/18 1:00,2.87,13.3
6/26/18 1:15,2.83,13.2
6/26/18 1:30,2.79,13.2
6/26/18 1:45,2.78,13.4
6/26/18 2:00,2.78,13.4
6/26/18 2:15,2.76,13.2
6/26/18 2:30,2.77,13.4
6/26/18 2:45,2.77,13.4
6/26/18 3:00,2.79,13.4
6/26/18 3:15,2.78,13.4
6/26/18 3:30,2.79,13.4
6/26/18 3:45,2.79,13.4
6/26/18 4:00,2.79,13.4
6/26/18 4:15,2.78,13.4
6/26/18 4:30,2.79,13.4
6/26/18 4:45,2.79,13.4
6/26/18 5:00,2.79,13.4
6/26/18 5:15,2.81,13.3
6/26/18 5:30,2.8,13.3
6/26/18 5:45,2.8,13.3
6/26/18 6:00,2.8,13.3
6/26/18 6:15,2.8,13.3
6/26/18 6:30,2.81,13.3
6/26/18 6:45,2.81,13.3
6/26/18 7:00,2.83,13.3
